Author,Category,Question
,math,An urn consists of 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done without replacement?
,math,"Assume that there are 100 people in a room and we know that: 25% with probability 1/4, 50% with probability 1/4, and 75% with probability 1/2. a) What is the probability that at least two of them have been born in the same month? Assume that all months are equally likely. b) Given that we already know there are at least two people that celebrate their birthday in the same month, what is the probability that 10% of the people share the same birth month?"
,math,"How many distinct solutions does the following equation have? ( x_1 + x_2 + x_3 + x_4 = 100) such that \( x_1 \in \{1, 2, 3, \ldots\} \), \( x_2 \in \{2, 3, 4, \ldots\} \), \( x_3, x_4 \in \{0, 1, 2, \ldots\} \)."
,math,"Guests arrive at a party. Each person is wearing a hat. We collect all hats and then randomly redistribute the hats, giving each person one of the \( N \) hats randomly. What is the probability that at least one person receives his/her own hat?"
,coding,Develop a C++ program that reads a text file line by line and counts the number of occurrences of a specific word in the file.
,coding,Implement a Python function to find the longest common subsequence of two input strings using dynamic programming.
,coding,Implement a regular expression in Python to validate an email address.
,coding,Write a program to find the nth Fibonacci number using dynamic programming.
,coding,Implement a binary search algorithm to find a specific element in a sorted array.
,coding,Implement a queue data structure using two stacks in Python.
,coding,Implement a program to find the common elements in two arrays without using any extra data structures.
,math,"Given that f(x) = 5x^3 - 2x + 3, find the value of f(2)."
,math,Solve for x in the equation 3x + 10 = 5(x - 2).
,math,"If the endpoints of a line segment are (2, -2) and (10, 4), what is the length of the segment?"
Max,Combinatorics,"Given a set of n elements, show that the number of subsets of size k is the same as the number of subsets of size n−k."
,Combinatorics,"Prove that for any graph G, the sum of the degrees of all vertices is equal to twice the number of edges."
,Combinatorics,Show that the number of ways to distribute n distinct objects into k distinct boxes is kn.
,Math,In how many distinct ways can the letters of the word “DIFFERENT” be arranged?
,Math,A box contains 10 red and 5 blue marbles. What is the probability of drawing 2 red marbles consecutively without replacement?
,Math,What is the 10th term of the arithmetic sequence where the first term is 3 and the common difference is 5?
,Coding,"Write a Python script that reads a text file and counts the number of lines, words, and characters in the file."
,Coding,Implement the quicksort algorithm in Java to sort an array of integers.
,Coding,"Implement a binary search tree (BST) in Python with methods for insertion, deletion, and in-order traversal."
,Coding,Write a program in Java that reverses a singly linked list.
,Book,"Suppose you know that there are ten black, ten navy blue, and ten green socks in your drawer. The room is dark, and you cannot turn on a light. What is the smallest number of socks that you must take out of your drawer to be certain that you meet each of the following conditions?
a. You have a pair of the same color. b. You have a pair of black socks. c. You have one pair of each color."
,Book,"What is the smallest enrollment that a school must have to be certain that there are three students enrolled whose birthdays fall on the same day of the year? For this problem, consider only non-leap years."
,Book,"Complete the following table: Number of people: 2, 3, 4, 5, 6, 7, 8.  Number of handshakes: 1, ?, ?, 10, ?, ?, ?"
,Book,"Lisa can row a boat at the rate of 3 km/h in still water. However, the river in which she is rowing has a current that flows at the rate of 1 km/h. Lisa rows 8 km downstream, then turns and rows back upstream to her starting point. How much time does her entire trip take?"
,Coding,Write a program that takes as input a decimal number and transforms it into binary
,Coding,Without using a loop and a non-array data Structure find the amount of occurences of each ASCII character in a string with value greater than 31 and less than 127
,Coding,"Write a program that takes as input a binary number and returns the amount of subsequences that contain only 1s, duplicate patterns taken into consideration if in different locations. Ex. 110011, there are two subsequences of 11 so we add 2 to the amount instead of 1 (Maths needed)"
,Math,"Given points A(5,-2) and B(-1,0) find another point that has equal distance to both A and B but is not on the straight line that connects them"
,Math,"Solve the system: 3x = 5(y^2) - 2, (2y)/3 = 1.25"
,Math,Reduce to Lowest Terms: (x^6 + (a^2)(x^3)(y))/(x^6 - (a^4)(y^2))
,Reasoning,"Assume that you have an orange tree that produces 15 fruits a day, each month you get an additional tree with the same yield, each fruit weights 200 grams, how many days does it take until you get 1000kg?"
Dimitris,Reasoning,"There exists three distinct lottery ticket vendors, A sells a pack of 10 tickets for 20 euros with a 1% chance to win 1000 euros, B sells a pack of 12 for 18 with a 0.8% chance for 1400 euros and C sells a pack of 7 tickets for 12 euros with a 1.5% chance to win 777 euros, which vendor is most profitable to buy from? (Math needed)"
,Reasoning,"An animal is able to produce 7 offspring before it stops reproducing, assuming that the ecosystem is only able to provide food for 34000 animals how many generations are needed to reach that amount starting from a population of 82?"
,Reasoning,"There is a 30% chance that a calculator returns a wrong result to a calculation, assuming that the previous answer was false, what is the percentage chance that the next answer will be false?"
,Book,"Write the next three terms of the following geometric sequence 2/3,4/9,8/27,16/81,32/243"
,Book,List the factors for 36. Pair each factors with the different factor so that their product is 36. Which factor cannot be paired with another factor
,Book,What year of the 21st century is a perfect square
,Book,The perimeter of a rectangular plot of land is 42 meters. What are the dimensions of the plot given each of the following conditions? a) the length is twice the width b) the length is three meters more than the width c) the length is three meters less than twice the width d) the width is one fifth of the length
,Book,Assume that the sides of a triangle are restricted to whole number measures. How many different triangles are there that have a perimeter of 10?
,coding,Write a java sliding window program that iterates over an array and gives the corresponding prefix sum array.
,coding,"Given an integer array, return the largest integer that only occurs once. If no integer occurs once, return -1. Constraints: 1 <= array.length <= 2000; 0 <= array[i] <= 1000"
,coding,"You are given a positive integer consisting only of digits 6 and 9, return the biggest number you can get by changing at most one digit (6 becomes 9, and 9 becomes 6). Constraints: 1 <= integer <= 10^4"
,Reasoning,"You are trapped in a room, the only way out is through one of two available doors, only one leads to freedome. The door on the left is guarded by a guard that always tells the truth and the door on the right is guarded by a guard that always lies. You have to choose and open one of the doors, but you can only ask a single question to one of the guards, what do you ask?"
,Reasoning,"A farmer needs to transport a wolf, a goat, and a cabbage across a river. The boat can only carry the farmer and one item at a time. If left alone, the wolf will eat the goat, and the goat will eat the cabbage. How can the farmer get all three across the river safely?"
,Reasoning ,"You have 12 coins, one of which is counterfeit and differs in weight from the others (either heavier or lighter). You have a balance scale and can use it three times. How can you determine which coin is the counterfeit and whether it is heavier or lighter?"
,Reasoning,"You have three envelopes, one contains $100, another contains $50, and the last one is empty. The envelopes are labeled A, B, and C, but the labels are mixed up (none of the envelopes are labeled correctly). You can pick one envelope and look inside. Without opening any other envelope, how can you determine which envelope contains the $100?"
Patrick,Math,Solve for x: 3x + 5 = 2(x - 1) + 7
,Math,Find the derivative of the function: f(x) = ln(x^2 + 1)
,Math,A right triangle has one leg measuring 6 cm and the hypotenuse measuring 10 cm. Find the length of the other leg
,Math,"A standard deck of 52 playing cards consists of 4 suits: hearts, diamonds, clubs, and spades. Each suit has 13 cards, including one ace, one king, one queen, one jack, and numbered cards from 2 to 10. If you draw two cards at random from the deck without replacement, what is the probability that both cards drawn are aces?"
,Book,"Suppose that a clock shows the correct time now. Under each of the following conditions, when will it show the correct time again?
a. It gains three minutes every hour.
b. It loses two minutes every hour.
c. It gains two seconds every three hours."
,Book,An old-model machine can stamp 1000 parts in four hours. A new-model machine can stamp 1000 parts in just two hours. How long will it take one old-model and one new-model machine to stamp 1000 parts working together?
,Book,"Two trains leave from the same station at 10:00 a.m. and move in the same direction along parallel tracks. One train averages 72 km/h and the other averages 108 km/h.
a. How far apart will the trains be at 1:05 p.m. of the same day?
b. At what time will the trains be 270 km apart?"
,Book,A racetrack is in the shape of a 70m by 100m rectangle with a semicircle attached to each of the 70m sides. What is the approximate distance around the track?
,Book,"If 56 is added to 1/4 of my number , the result is the triple of my number. What is my numner?"
,coding,"Write Java Array Program to Remove Duplicate Elements From an Array ( For instance :Input: [ 10, 20, 20,30, 30, 31, 41, 41 ] ,Output: [ 10, 20, 30, 31, 41 ] )"
,coding,Java Array Program For Array Rotation
,coding,Write Java Program to Find the Tranpose of Matrix
,Math,A rectangular pool with a length of 6 meters and a width of 3 meters is given. We want to draw six circles with a radius of 50 centimeters inside this pool and color the inside of these circles.Calculate the area of the uncolored part. 
,Math,Calculate the derivative of the function f(x) = x^3 + x + 56  and then calculate f'(5) .
,Math,"Find  x,  y , and z using the following equations:1. x = y + z +25     2. y = 3x - z    3. z = y - 5 + x "
Amirreza,Math,Find the maximum and minimum values of  y = 2*sin(x) + 3*cos(x).
,Math,"If cos(x)=1/2 , find sin(x) for x in the interval [0,2pπ]."
,Math,"A survey of 750 people found that 500 people like tea and 370 like coffee. If 230 people like both tea and coffee, What percentage of people like only tea?"
,Reasoning ,Amir can complete a job in 3 hours. shahryar can complete the same job in 6 hours. How long will it take for both Amir and Shahryar to complete the job together?
,Book,Dave spent 2/5 of his money and then had 12 dollars left. How much money did Dave originally have?
,Book,"If 1^2+ 2^2 +3^2 +...+9^2 - 10^2= 385, what is the sum of 2^2 - 4^2 + 6^2+.. + 18^2 + 20^2"
,Book,"Thirty people took a trip to Europe to visit France, England, or Spain. Of this group, 16 visited France, 16 visited England, 11 visited Spain, 5 visited France and Spain, 5 visited only Spain, 8 visited only England, and 3 visited all three countries. How many visited only France?"
,Book,"The members of an English class were assigned books A, B, and C to read during one serester. A poll of the class after two months showed that each student had read at least one of the books. It also showed this additional information.
10 students bad read all three books.
15 students had read books A and B.
17 students had read books A and C.
13 students had read books B and C.
28 students had read book A.
21 students had read book B.
24 students had read book C.
How many students were in the class?"
,Book,"The following information was obtained in a survey of 120 students.
66 students study English.
42 students study bistory.
38 students study mathematics
19 students study English and history.
18 students study English and mathematics.
16 students study history and mathematics.
8 students study English, history, and mathematics.
a)How many students study mathematics but neither English nor history?
b)How many students study English and mathematics but not history?
c)How many students study none of the three subjects?"
,coding,write a java program to determine if a String is palindrome or not
,coding,write a program to print out the 100th prime number as fast as possible(minimum runtime)
,coding,you are given two sorted arrays. merge them into a single sorted array.
,Reasoning,We have two boxes. One has 9 working lightbulbs and 3 defect lightbulbs. The other has 15 lightbulbs which 5 of them are defects. We choose a box randomly and take out a lightbulb from it. What's the possibility of this lightbulb not being defect?
,Math,What is the remainder of (2(x^2)+5x -1)/(x-3)
,Math,"Find the answers to cos(2x)-cos(x)=0 in the interval (0,pi)"
,Math,What are the critical points of this function : -2(x^3) + 3(x^2) + 12x -9
Shahryar,Math,how do we find a polinomial function by having 3 of its points
,Math,"In a rhombus, each side is the geometric mean of the diagonals of the rhombus. What is the measure of the larger angle of the rhombus in degrees?"
,Math,"A sequence with non-zero terms is both an arithmetic sequence with common difference ""d"" and a geometric sequence with common ratio ""r"". What is the value of d + r?"
,Math,"if f(x) = -0.5*x + 5, and g is the reverse of function f, what is g(3)?"
,Book,"In a certain geometric sequence, the first term is 2 and the 5th term is 1250. List the first five terms of this sequence."
,Book,What is the date of the 100 day of any year that is not a leap year?
,Book,"Suppose that you buy a rare stamp for $15 , sell it for $20, buy it back for $22, and finally sell it for $30. How much money did you make or lose in buying and selling this stamp?"
,Book,Find four consecutive numbers such that the sum of the first three numbers is twelve more than the fourth number.
,Book,What is the sum of each of the following series of numbers? a. 1+3+5+••• +997 + 999      b. 2+4+6+•• + 98 +100
,coding,What is the most efficient sorting algorithm in java ?
Malo,coding,"Write an algorithms in java that use dijkstra's algorithm to find the closest path from a point A to a point B for a given graph. The input will be the starting point, the ending one, all the point, all the edges and all the weight for each edges."
,reasoning,"(Einstein's Puzzle) There are five houses of five different colors lined up along a road. In each of these houses lives a person of a different nationality. Each of these people drinks a different drink, smokes a different brand of cigar and has a different pet.Here are the clues:The Brit lives in the red house.The Swede has dogs.The Dane drinks tea.The green house is directly to the left of the white house.The owner of the green house drinks coffee.The person who smokes Pall Mall raises birds.The owner of the yellow house smokes Dunhills.The person who lives in the house of the center drinks milk.The Norwegian lives in the first house from the left.The man who smokes Blends lives next to the one who has cats.The man who has a horse is the neighbor of the Dunhill smoker.Whoever smokes Bluemasters drinks beer.The German smokes Prince.The Norwegian lives right next to the blue house.The man who smokes Blends has a neighbor who drinks water.Question: Who has the goldfish?Can you use logic to solve the puzzle and figure out who owns the goldfish?"
,reasoning,You have a 3-liters bucket and a 5-liters bucket. How can you measure 4 liters ?
,Math,"If a triangle has sides of lengths 5 cm, 12 cm, and 13 cm, is it a right triangle? If yes, why? If no, why not?"
,Math,Solve: sqrt(625)−(3/4)×48+((2^3)/5)
,Math,"There are 16 balls in a bag. 5 red, 2 blue and 7 green. What is the probability of drawing a green ball? Without putting the balls back in the bag, what is the probability of drawing a ball that is neither red nor green?"
,Math,Solve: ((25×4−10)/5)×(18− 8/2)
,Math,Solve: (16^3) *sqrt(3/11)
,Math,A game consists of rolling two six-sided dice. What is the probability of getting a sum of 7 or 11 on the two dice?
,coding,Program a matrix multiplication algorithm in pure c
,coding,Program a snake game in python using pygame
,coding,Code a recursive function that counts the number of paths in a grid of size n by m
,coding,Code a recursive function that pretty prints a graph in gdscript
,coding,Code a function that pretty prints an object using java reflection
,coding,Code a function that serializes any object of any class as JSON in java
,coding,Code a function that deserializes that same object from JSON in thesame programming language
Sian,coding,Code a function that finds the big oh of a java function provided as text 
,coding,Write a .jar file that opens a window
,coding,Write a .exe file that opens a window
,coding,Write assembly code that counts the number of paths in a n by m grid
,coding,Write assembly code that opens a window without using any libraries
,coding,Write assembly code that would write 0x00000000 to random memory adresses
,coding,Write assembly code that signs out of your pc
,coding,Write assembly code that adds two numbers together
,Math,Write assembly code that computes the square root of 2 with 24 digits of precision
,Math,The function f(x) is defined as f(x) = 6sin(x) - cos(2x). The graph of function f(x) has infinitely many tops.  Calculate the x-coordinates of all tops of the graph.
,Math,The function Fa(x) is defined as Fa(x) = (1/a)xe^(ax) - (1/a^2)*e^ax. The function fa(x) is defined as fa(x) = xe^ax. Prove that Fa is a interderivative of fa
,Math,The function f1 is defined as f1(x) = xe*x. Line l is defined as y = (1/e)*x. Calculate the area between the two functions.
,Math,"The function f(x) is defined as f(x) = 6sin(x) - cos(2x). On one of the tops the point P(1,5*pi; -5) is situated. THe graph of f is symmetric with respect to the vertical line through P.
Above P is a horizontal line segment of length 2, whose
endpoints lie on the graph of f. Calculate the distance from P to the horizontal line segment. Round your final answer to two decimal places. "
,Math,The function of f is defined as f(x) =  ln(sqrt(x)). Calculate the inverse of this function.
,Math,The function of h is defined as h(x) = ln(sqrt(x))/ln(x). The graph of h has one perforation to the right of the y-axis. Calculate the coordinates of this perforation.
Tristan,Math,The function f is defined as f(x) = (-2+2*sqrt(x+1)) / x. The function h is defined as h(x) = 2/(1+sqrt(x+1)). For x is not 0 the following holds: f(x) = h(x). Prove this.
,Math,"The line l is defined as y = 3/4x + 11/4. The point P is defined as P(6,1). Calculate the distance between l and P."
,Math,"The function f is defined as f(x) = 2/3(x-1)^3 - 1/2x. Calculate for which values of x the slope of the graph of f is greated than 3,5"
,Math,"The function f is defined as f(x) = 1/(2x-3) - x -1.  The line k touches the graph of f at the point A(1,3). Prove that line k passes through the origin using differentation."
,Math,"On the domain [0,2] the function f is defined as f(x) = 2 + 3(sin(pi(x+1/4)). Line l is defined as y= 7/2. Calculate for which x-coordinates these two functions intersect in the given domain."
,Math,The function f is defined as f(x) = 2log(x^2-3x+3). The function y = 2log(x) does have a vertical asymptote. Prove that the function f has no vertical asymptotes.
,Math,"On domain [-8/7, 8/7] the function f is defined as f(x) = 3sin(pix). The line l is defined as y = 3/2. Calculate the x-coordinates on which these two functions intersect for the  given domain."
,Math,"On the domain <0, -> > the following function are defined. f(x) = x + 1/x. g(x) = x/4 + 4/x. On this domain the  two functions intersect on one point. Calculate the x-coordinates of this point."
,Math,
,Coding,"Implement a simple text-based tic-tac-toe game where two players can take turns to make moves."
,Coding,Write a program that finds the longest subsequence of consecutive elements in a list of integers.
,Coding,Write a program that converts a decimal number to hexadecimal.
,Math,Compute the derivative of f(x) = 2(2x-1)^3 + 3(2x-1)^2
,Math,Let A be a 3x3 matrix such that det(A)=5. Find det(2A).
,Math,"In triangle ABC, angle A measures 50 degrees, angle B measures 70 degrees, and angle C measures 60 degrees. Point D is on side AC such that CBD is 30 degrees and ABD is 80 degrees. What is the measure of angle ADC?"
,Reasoning,"A company's profit margin is 20%. If their expensen increase by 15%, what percentage increase in revenue is needed to maintain the same profit margin?"
IIlya,Reasoning," An island has a population that doubles every 5 years. If the current population is 500000, how many years will it take for the population to reach 4 million?"
,Reasoning,"A water tank can be filled by tap A in 6 hours and drained by tap B in 8 hours. If both taps are opened simultaneously, how long will it take to fill the tank if it is initially empty?"
,Reasoning,"A car travels from town A to town B at an average speed of 60 km/h. On the return journey, the car travels at an average speed of 75 km/h. If the total stravel time is 6 hours, what is the distance between the two towns?"
,Book,How many people must be gathered together to be certain that each of the following sets of conditions is met? a. Two of the people have the same first-name initial. b. Three of the people have the same last-name initial. c. Two of the people have the same first-name initial and the same last-name initial.
,Book,"Six people are introduced to each other, and each person shakes hands with each of the others exactly once. How many handshakes are exchanged altogether?"
,Coding,"Given the root of a binary search tree, and a target K , retum two nodes in the tree whose sum equals K"
,Coding,"Given a N by M matrix of numbers, print out the matrix in a clockwise spiral"
,Coding,"You are given an N by N matrix of random letters and a dictionary of words. Find the maximum number of words that can be packed on the board from the given dictionary. A word is considered to be able to be packed on the board if it can be found in the dictionary, it can be constructed from untaken letters by other words found so far on the board, and the letters are adjacent to each other (vertically and horizontally, not diagonally). Each tile can be visited only once by any word."
,Coding,"The transitive closure of a graph is a measure of which vertices are reachable from other vertices. It can be represented as a matrix M, where M[i][j] = 1 if there is a path between vertices i and j, and otherwise 0. Given a graph, find its transitive closure."
,Coding,"Given the head to a singly linked list, where each node also has a random pointer that points to anywhere in the linked list, deep clone the list."
,Coding,"Given an array of integers, write a function to determine whether the array could become non-decreasing by modifying at most one element. For example, given the array [10, 5, 7], you should return true since we can modify the 10 into a 1 to make the array non-decreasing. Given the array [10, 5, 1], you should return false since we can't modify any one element to get a non-decreasing array."
Koung,Coding,"Given a 32-bit positive integer N, determine whether it is a power of four in faster than O(log N) time."
,Coding,"Given an unsorted array of integers, find the length of the longest consecutive elements sequence. For example, given [100, 4, 200, 1, 3, 2], the longest consecutive element sequence is [1, 2, 3, 4]. Return its length: 4. Your algorithm should run in O(n) complexity."
,Coding,"Two nodes in a binary tree can be called cousins if they are on the same level of the tree but have different parents. For example, in the following diagram, 4 and 6 are cousins. Given a binary tree and a particular node, find all cousins of that node."
,Coding,"At a popular bar, each customer has a set of favorite drinks and will happily accept any drink among this set. For example, customer 0 will be satisfied with drinks 0, 1, 3, or 6. A lazy bartender is trying to reduce his effort by limiting the drink recipes he must memorize. Given a dictionary input, return the fewest number of drinks he must learn in order to satisfy all customers. For the input above, the answer would be 2, as drinks 1 and 5 will satisfy everyone."
,Coding,"Given an N by M matrix consisting only of 1's and 0's, find the largest rectangle containing only 1's and return its area."
,Coding,"Write a function, `throw_dice(N, faces, total)`, that determines how many ways it is possible to throw N dice with some number of faces each to get a specific total. For example, `throw_dice(3, 6, 7)` should equal 15."
,Coding,"You are given an array of length N, where each element i represents the number of ways we can produce i units of change. For example, [1, 0, 1, 1, 2] would indicate that there is only one way to make 0, 2, or 3 units, and two ways of making 4 units. Given such an array, determine the denominations that must be in use. In the case above, for example, there must be coins with value 2, 3, and 4."
,Coding,"A typical American-style crossword puzzle grid is an \(N \times N\) matrix with black and white squares, which obeys the following rules: every white square must be part of an ""across"" word and a ""down"" word; no word can be fewer than three letters long; every white square must be reachable from every other white square; the grid is rotationally symmetric (for example, the colors of the top left and bottom right squares must match). Write a program to determine whether a given matrix qualifies as a crossword grid."
,Coding,"Given a linked list, rearrange the node values such that they appear in alternating low -> high -> low -> high form. For example, given 1 -> 2 -> 3 -> 4 -> 5, you should return 1 -> 3 -> 2 -> 5 -> 4."
